date_range,raw_metar
2005-01-01,#  METAR/SPECI from VABB
2005-01-01,200501312340 METAR VABB 312340Z 05005KT 3000 FU FEW100 23/16 Q1013 NOSIG=
2005-01-01,200501312330 METAR VABB NIL=
2005-01-01,200501312300 METAR VABB NIL=
2005-01-01,200501312240 METAR VABB 312240Z 09005KT 3000 FU FEW100 24/16 Q1013 NOSIG=
2005-01-01,200501312230 METAR VABB NIL=
2005-01-01,200501312200 METAR VABB NIL=
2005-01-01,200501312140 METAR VABB 312140Z VRB03KT 3000 FU FEW100 24/17 Q1013 NOSIG=
2005-01-01,200501312040 METAR VABB 312040Z 00000KT 3000 FU FEW100 24/18 Q1014 NOSIG=
2005-01-01,200501312030 METAR VABB NIL=
2005-01-01,200501311940 METAR VABB 311940Z 00000KT 3000 FU FEW100 24/18 Q1014 NOSIG=
2005-01-01,200501311930 METAR VABB NIL=
2005-01-01,200501311900 METAR VABB NIL=
2005-01-01,200501311840 METAR VABB 311840Z 00000KT 3000 FU FEW100 25/19 Q1015 NOSIG=
2005-01-01,200501311740 METAR VABB 311740Z 00000KT 3000 FU FEW100 25/19 Q1015 NOSIG=
2005-01-01,200501311640 METAR VABB 311640Z 03003KT 3000 FU FEW100 25/19 Q1015 NOSIG=
2005-01-01,200501311630 METAR VABB NIL=
2005-01-01,200501311540 METAR VABB 311540Z 34008KT 3000 FU SKC 25/18 Q1015 NOSIG=
2005-01-01,200501311340 METAR VABB 311340Z 31005KT 4000 FU SKC 26/18 Q1013 NOSIG=
2005-01-01,200501311240 METAR VABB 311240Z 31008KT 4000 FU SKC 26/17 Q1012 NOSIG=
2005-01-01,200501311140 METAR VABB 311140Z 31009KT 4000 FU SKC 27/16 Q1012 NOSIG=
2005-01-01,200501311130 METAR VABB NIL=
2005-01-01,200501311100 METAR VABB NIL=
2005-01-01,200501311030 METAR VABB NIL=
2005-01-01,200501310940 METAR VABB 310940Z 28010KT 5000 FU FEW020 28/14 Q1012 NOSIG=
2005-01-01,200501310840 METAR VABB 310840Z 30010KT 5000 FU FEW020 29/14 Q1013 NOSIG=
2005-01-01,200501310800 METAR VABB NIL=
2005-01-01,200501310740 METAR VABB 310740Z 33005KT 5000 FU FEW020 SCT100 24/12 Q1014 NOSIG=
2005-01-01,200501310730 METAR VABB NIL=
2005-01-01,200501310540 METAR VABB 310540Z 00000KT 4000 HZ SCT020 BKN100 26/15 Q1015 NOSIG=
2005-01-01,200501310530 METAR VABB NIL=
2005-01-01,200501310440 METAR VABB 310440Z 00000KT 3000 HZ SCT020 BKN100 25/17 Q1015 NOSIG=
