Parameter,Importance
wind_speed_x_visibility_lag_3,0.41584405
wind_speed_x_visibility_lag_1,0.22488865
wind_speed_x_visibility_lag_6,0.1105113
humidity_wind,0.060044385
wind_speed_rolling_mean_6,0.028119225
speed_lag_1,0.028067416
wind_speed_lag_1,0.015193173
hour_sin,0.010739129
sea_breeze_phase,0.007865983
visibility_lag_1,0.006686789
visibility_lag_3,0.005561557
wind_dir_cos_rolling_mean_3,0.0052644922
wind_speed_change_rolling_mean_6,0.0051621776
visibility_lag_2,0.0038862305
wind_speed_rolling_std_6,0.0037644678
visibility_lag_6,0.003715099
visibility_rolling_mean_3,0.0030697677
visibility_rolling_mean_12,0.002580235
wind_speed_lag_6,0.002504525
humidity_rolling_std_3,0.0023245094
wind_speed_rolling_std_3,0.0023084534
u_shear_3h,0.0022238554
month_cos,0.0019995985
wind_gust_lag_6,0.0019247383
wind_dir_cos_rolling_std_3,0.0018004102
temp_dew_diff,0.0016461444
visibility_rolling_mean_6,0.0015713503
humidity,0.001557732
wind_speed_rolling_std_12,0.0014430657
wind_speed_change_rolling_std_3,0.0013170308
wind_speed_change_rolling_std_6,0.0012893708
dew_proximity,0.0012728589
dew_point_depression,0.0011710284
pressure_humidity,0.00097189663
pressure_lag_12,0.0009679472
is_rain,0.0009668715
pressure_change_rolling_std_12,0.0009486261
is_haze,0.0009297276
wind_speed_change_lag_2,0.00090235786
high_humidity_flag,0.0008797131
wind_dir_sin_rolling_std_6,0.00083441765
wind_speed_lag_2,0.00082928536
pressure_rolling_std_6,0.0008238436
wind_dir_sin_rolling_mean_6,0.0008185528
wind_dir_cos_lag_1,0.0008170041
pressure_rolling_mean_6,0.0007548418
low_visibility_streak,0.0007195083
temp_rolling_std_6,0.0006979897
u_lag_1,0.0006922217
wind_dir_cos_rolling_std_6,0.0006913024
humidity_lag_6,0.00064483273
abl_instability,0.0006312634
wind_dir_cos_rolling_mean_6,0.00055705995
dew_gap,0.00048679116
visibility_trend,0.0004834737
pressure_rolling_std_12,0.00047406144
hour_cos,0.00047377357
wind_dir_sin_rolling_mean_3,0.0004335559
wind_dir_sin_rolling_std_3,0.00042384773
vis_drop_rate,0.00041013188
visibility_acceleration,0.00040467439
pressure,0.0003950792
month_sin,0.00037036222
wind_gust_lag_1,0.00036949595
dew_point,0.0003329098
wind_gust_rolling_std_6,0.0003281493
temp,0.00032228045
morning_humidity,0.00030185323
cloud_cover,0.00029353818
wet_bulb,0.0002830542
temp_dew_diff_rolling_std_6,0.0002816839
total_shear_3h,0.00026498176
pressure_lag_1,0.00026318684
wind_speed_lag_3,0.00026293402
temp_lag_12,0.00026123028
v_lag_1,0.00025132802
wind_speed_lag_12,0.0002513239
humidity_rolling_std_12,0.00024179199
wind_speed_change_rolling_std_12,0.00023951943
visibility,0.00023511711
wind_dir_cos_lag_6,0.0002328086
humidity_spike,0.00023250579
temp_humidity,0.00023142989
humidity_temperature,0.00022405585
wet_bulb_lag_2,0.00022170252
temp_lag_1,0.00021726597
vis_drop_3,0.00021656255
wind_dir_sin_lag_1,0.00021198235
humidity_rolling_mean_3,0.0002083591
vis_regime,0.00020827824
humidity_lag_12,0.00019867324
pressure_drop_fast,0.00018878533
temp_dew_diff_rolling_mean_3,0.00018540486
is_fog,0.000184491
wind_speed_change_lag_6,0.00018405465
humidity_lag_3,0.0001811679
wind_dir_cos_rolling_std_12,0.0001807657
humidity_rolling_mean_6,0.0001798945
pressure_tendency_3h,0.00017553847
humidity_lag_1,0.0001726967
visibility_rolling_std_12,0.0001725759
temp_dew_diff_lag_12,0.00017107489
wind_dir_sin_rolling_std_12,0.00017061339
